name,rg_label,rg_label_raw,genome_type_enc,taxonomic_family_enc,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,infects_humans,host_breadth
Adeno-associated virus rh.10,0,1,6,47,,1.0,0.0,,1.0,,3.0
Aedes flavivirus,0,1,6,47,,1.0,1.0,0.0,1.0,0.0,1.0
Alongshan virus,2,3,6,47,,1.0,1.0,0.0,1.0,,7.0
Alphaarterivirus equid,0,1,4,5,0.0,1.0,,,,,
Alphabaculovirus adhonmai,0,1,0,8,1.0,,,,,,
Alphabaculovirus agipsilonis,0,1,0,8,1.0,,,,,,
Alphabaculovirus agsegetum,0,1,0,8,1.0,,,,,,
Alphabaculovirus alteragsegetum,0,1,0,8,1.0,,,,,,
Alphabaculovirus alterchofumiferanae,0,1,0,8,1.0,,,,,,
Alphabaculovirus altermaconfiguratae,0,1,0,8,1.0,,,,,,
Alphabaculovirus angemmatalis,0,1,0,8,1.0,,,,,,
Alphabaculovirus anpernyi,0,1,0,8,1.0,,,,,,
Alphabaculovirus aucalifornicae,0,1,0,8,1.0,,,,,,
Alphabaculovirus bomori,0,1,0,8,1.0,,,,,,
Alphabaculovirus busuppressariae,0,1,0,8,1.0,,,,,,
Alphabaculovirus capomonae,0,1,0,8,1.0,,,,,,
Alphabaculovirus chofumiferanae,0,1,0,8,1.0,,,,,,
Alphabaculovirus chomurinanae,0,1,0,8,1.0,,,,,,
Alphabaculovirus chorosaceanae,0,1,0,8,1.0,,,,,,
Alphabaculovirus chrincludentis,0,1,0,8,1.0,,,,,,
Alphabaculovirus chrychalcites,0,1,0,8,1.0,,,,,,
Alphabaculovirus clabilineatae,0,1,0,8,1.0,,,,,,
Alphabaculovirus ecobliquae,0,1,0,8,1.0,,,,,,
Alphabaculovirus eppostvittanae,0,1,0,8,1.0,,,,,,
Alphabaculovirus eupseudoconspersae,0,1,0,8,1.0,,,,,,
Alphabaculovirus helarmigerae,0,1,0,8,1.0,,,,,,
Alphabaculovirus hycuneae,0,1,0,8,1.0,,,,,,
Alphabaculovirus lafiscellariae,0,1,0,8,1.0,,,,,,
Alphabaculovirus leseparatae,0,1,0,8,1.0,,,,,,
Alphabaculovirus lydisparis,0,1,0,8,1.0,,,,,,
Alphabaculovirus lyxylinae,0,1,0,8,1.0,,,,,,
Alphabaculovirus mabrassicae,0,1,0,8,1.0,,,,,,
Alphabaculovirus maconfiguratae,0,1,0,8,1.0,,,,,,
Alphabaculovirus mavitratae,0,1,0,8,1.0,,,,,,
Alphabaculovirus orleucostigmae,0,1,0,8,1.0,,,,,,
Alphabaculovirus orpseudotsugatae,0,1,0,8,1.0,,,,,,
Alphabaculovirus spexiguae,0,1,0,8,1.0,,,,,0.0,1.0
Alphabaculovirus splittoralis,0,1,0,8,1.0,,,,,,
Alphabaculovirus spliturae,0,1,0,8,1.0,,,,,,
Alphabaculovirus spofrugiperdae,0,1,0,8,1.0,,,,,,
Alphabaculovirus sujujubae,0,1,0,8,1.0,,,,,,
Alphabaculovirus thorichlaceae,0,1,0,8,1.0,,,,,,
Alphabaculovirus trini,0,1,0,8,1.0,,,,,,
Alphabaculovirus wisignatae,0,1,0,8,1.0,,,,,,
Alphacoronavirus porci,0,1,4,13,0.0,1.0,0.0,0.0,0.0,,1.0
Alphacoronavirus suis,0,1,4,13,0.0,1.0,0.0,0.0,0.0,,1.0
Alphainfluenzavirus influenzae (H1N1)pdm09,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae (H1N2)v,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/American wigeon/South Carolina/22-000345-001/2021 (H5N1) IDCDC-RG78A,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Anhui/01/2005(H5N1)-PR8 IDCDC RG6,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Anhui/1/2013(H7N9)-PR8 NIBRG-268,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Ann Arbor/6/60 cold-adapted (H2N2),1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Astrakhan/3212/2020 (H5N8) IDCDC-RG71A,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38M),1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38T),1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181A,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181B,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X179A,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Chicken/Bangladesh/11rs1984-30/2011(H5N1)-PR8 IDCDC RG36,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Chicken/Hong Kong/G9/97(H9N2)-PR8 NIBRG-91,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Chicken/Vietnam/NCVD-03/2008(H5N1)-PR8-IDCDC-25a,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Egypt/N03072/2010(H5N1)-PR8-IDCDC-29,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Hong Kong/125/2017(H7N9)-IDCDC-RG56B,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Hubei/1/2010(H5N1)-PR8-IDCDC-30,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/India/NIV/2006(H5N1)-PR8-IBCDC-RG7,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Indonesia/5/2005(H5N1)-PR8 IDCDC RG2,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N1)-PR8 NIBRG-63,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N3)-PR8 NIBRG-60,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N7)-IBCDC-1,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/NWS/G70c (H1N9),1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/New Jersey/8/1976 H1N1,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1),1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1)-NA(Bov),1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934(H1N1)-PA(I38T),1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 IDCDC-RG32A,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 NIBRG-267,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Sichuan/26221/2014(H5N6)-PR8 IDCDC RG42A,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Turkey/1/2005(H5N1)-PR8 NIBRG-23,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Turkey/Virginia/4529/2002(H7N2)-PR8-IBCDC-5,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/Vietnam/1194/2004(H5N1)-PR8 NIBRG-14,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/Vietnam/1203/2004(H5N1)-PR8 SJRG-161052,1,2,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae A/gyrfalcon/Washington/41088-6/2014(H5N8)-PR8 IDCDC-RG43A,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae A/pheasant/New Jersey/1355/1998(H5N2)/PR8-IBCDC-4,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H10N8,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H11N2,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H11N6,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H12N5,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H13N6,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H14N5,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H15N9,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H1N1 reconstructed 1918 strain,3,4,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae H1N9,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H2N2,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H2N3,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H2N5,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H3N2,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H3N6,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H3N8 (avian and zoonotic),2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H3N8 (canine),1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H3N8 (equine),1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H3N9,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H4N3,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H4N6,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H5N1,2,3,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae H5N1 transmissible engineered strain,3,4,5,29,0.0,1.0,1.0,0.0,1.0,,22.0
Alphainfluenzavirus influenzae H5N2,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H5N3,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H5N5,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H5N6,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H5N9,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H6N1,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H6N4,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H6N5,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H7N3,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H7N7,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H7N8,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H7N9,2,3,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H8N4,1,2,5,29,0.0,1.0,,,,,
Alphainfluenzavirus influenzae H9N2,1,2,5,29,0.0,1.0,,,,,
