name,rg_label,genome_type,transmission_route,host_range,environmental_stability,treatment_available,infectious_dose,zoonotic
(Ortho) reoviruses,2,,,,,,,
(other serovars),2,,,,,,,
139H hamster-adapted scrapie agent,2,,,,,,,
143B,1,,,,,,,
1918 Pandemic Influenza virus,4,,,,,,,
22L mouse-adapted scrapie agent,1,,,,,,,
22Rv1,2,,,,,,,
263K hamster-adapted Scrapie agent,1,,,,,,,
8E5,2,,,,,,,
Abiotrophia defectiva,2,,,,,,,
Absettarov,4,,,,,,,
Absidia aalborgi,2,,,,,,,
Acanthamoeba castellanii,2,,,,,,,
Acanthamoeba polyphaga,2,,,,,,,
Acanthamoeba tubiashi,1,,,,,,,
Acanthocheilonema viteae,1,,,,,,,
Acaulium acremonium,2,,,,,,,
Acetatifactor muris,1,,,,,,,
Acetatifactor muris ATCC BAA-2170,1,,,,,,,
Acetitomaculum ruminis,1,,,,,,,
Acetivibrio aldrichii,1,,,,,,,
Acetivibrio cellulolyticus,1,,,,,,,
Acetivibrio ethanolgignens,1,,,,,,,
Acetivibrio multivorans,1,,,,,,,
Acetivibrio thermocellus,1,,,,,,,
Acetoanaerobium noterae,1,,,,,,,
Acetoanaerobium sticklandii,1,,,,,,,
Acetobacter aceti,1,,,,,,,
Acetobacter estunensis,1,,,,,,,
Acetobacter europaeus,1,,,,,,,
Acetobacter laidlawii,1,,,,,,,
Acetobacter lovaniensis,1,,,,,,,
Acetobacter orleanensis,1,,,,,,,
Acetobacter pasteurianus,1,,,,,,,
Acetobacter pasteurianus subsp. pasteurianus,1,,,,,,,
Acetobacter pomorum,1,,,,,,,
Acetobacterium bakii,1,,,,,,,
Acetobacterium carbinolicum,1,,,,,,,
Acetobacterium fimetarium,1,,,,,,,
Acetobacterium malicum,1,,,,,,,
Acetobacterium paludosum,1,,,,,,,
Acetobacterium wieringae,1,,,,,,,
Acetobacterium woodii,1,,,,,,,
Acetofilamentum rigidum,1,,,,,,,
Acetohalobium arabaticum,1,,,,,,,
Acetomicrobium flavidum,1,,,,,,,
Acetonema longum,1,,,,,,,
Acetothermus paucivorans,1,,,,,,,
Acholeplasma axanthum,1,,,,,,,
Acholeplasma cavigenitalium,1,,,,,,,
Acholeplasma equifetale,1,,,,,,,
Acholeplasma granularum,1,,,,,,,
Acholeplasma hippikon,1,,,,,,,
Acholeplasma laidlawii,1,,,,,,,
Acholeplasma modicum,1,,,,,,,
Acholeplasma morum,1,,,,,,,
Acholeplasma multilocale,1,,,,,,,
Acholeplasma oculi,1,,,,,,,
Acholeplasma parvum,1,,,,,,,
Acholeplasma vituli,1,,,,,,,
Achromatium oxaliferum,1,,,,,,,
Achromobacter denitrificans,2,,,,,,,
Achromobacter piechaudii,2,,,,,,,
Achromobacter ruhlandii,1,,,,,,,
Achromobacter xerosis,1,,,,,,,
Achromobacter xylosoxidans,2,,,,,,,
Achromobacter xylosoxidans subsp. xylosoxidans,2,,,,,,,
Aciculoconidium aculeatum,1,,,,,,,
Acidaminobacter hydrogenoformans,1,,,,,,,
Acidaminococcus fermentans,2,,,,,,,
Acidianus ambivalens,1,,,,,,,
Acidianus brierleyi,1,,,,,,,
Acidianus infernus,1,,,,,,,
Acidimicrobium ferrooxidans,1,,,,,,,
