vVirusNameCorrected,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vICTVnumber,ReverseZoonoses,IsHoSa,IsHoSa.stringent,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vWOKcites,vPubMedCites,vCytoReplicTF,vSegmentedTF,vVectorYNna,vSSoDS,vDNAoRNA,vEnvelope,IsZoonotic,IsZoonotic.stringent
Adelaide_River_virus,Mononegavirales,Rhabdoviridae,,Ephemerovirus,0,,0,0,0,,,14627.0,6,7,True,False,Y,SS,RNA,enveloped,0,0
Adeno-associated_virus-1,Unassigned,Parvoviridae,Parvovirinae,Dependovirus,0,00.050.1.03.002.,0,1,0,,,4718.0,54,14,False,False,,SS,DNA,non-enveloped,1,0
Adeno-associated_virus-2,Unassigned,Parvoviridae,Parvovirinae,Dependovirus,1,00.050.1.03.001.,1,1,1,,,4679.0,573,381,False,False,,SS,DNA,non-enveloped,1,0
Adeno-associated_virus-5,Unassigned,Parvoviridae,Parvovirinae,Dependovirus,0,,0,1,1,,,4642.0,4,4,False,False,,SS,DNA,non-enveloped,0,0
African_green_monkey_polyomavirus,Unassigned,Polyomaviridae,,Polyomavirus,,,0,1,0,,,5270.0,1,0,True,False,N,DS,DNA,non-enveloped,1,0
African_green_monkey_simian_foamy_virus,Unassigned,Retroviridae,Spumaretrovirinae,Spumavirus,0,00.061.2.07.007.00.003.,0,0,0,,,13111.0,1,14,False,False,N,SS,RNA,enveloped,0,0
African_horse_sickness_virus,Unassigned,Reoviridae,Sedoreovirinae,Orbivirus,0,00.060.0.02.002.,0,0,0,,,19200.0,418,291,True,True,Y,DS,RNA,non-enveloped,0,0
African_swine_fever_virus,Unassigned,Asfarviridae,,Asfivirus,1,00.002.0.01.001.,0,0,0,170000.0,190000.0,170101.0,969,789,True,False,Y,DS,DNA,enveloped,0,0
Aichi_virus,Picornavirales,Picornaviridae,,Kobuvirus,1,,0,1,1,8244.0,8280.0,8262.0,100,80,True,False,N,SS,RNA,non-enveloped,0,0
Akabane_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,00.011.0.01.003.,0,0,0,,,12035.0,232,126,True,True,Y,SS,RNA,enveloped,0,0
