organism,risk_group,notes,source_url,query_term
adiacens,2,(Streptococcus adjacens),https://my.absa.org/RiskGroups,abiotrophia
balaena,2,PV (Streptococcus balaenus),https://my.absa.org/RiskGroups,abiotrophia
defectiva,2,(Streptococcus defectivus),https://my.absa.org/RiskGroups,abiotrophia
elegans,2,(Streptococcus elegans),https://my.absa.org/RiskGroups,abiotrophia
corymbifera,2,"Absidia ramosa | h,v | formerly Lichtheimia corymbifera",https://my.absa.org/RiskGroups,absidia
spp,2,Absidia corymbifera (synoym of Absidia ramosa) ; Absidia coerulea,https://my.absa.org/RiskGroups,absidia
castellanii,2,,https://my.absa.org/RiskGroups,acanthamoeba
culbertsoni,2,,https://my.absa.org/RiskGroups,acanthamoeba
spp,2,"Human and animal pathogen risk group 2 | AAH, AHH, GAE, PAM, ZOP",https://my.absa.org/RiskGroups,acanthamoeba
ethanolgignens,2,t | PV,https://my.absa.org/RiskGroups,acetivibrio
axanthum,2,t | PV,https://my.absa.org/RiskGroups,acholeplasma
granularum,2,t | PV,https://my.absa.org/RiskGroups,acholeplasma
hippikon,2,t | PV,https://my.absa.org/RiskGroups,acholeplasma
laidlawii,2,t | PV,https://my.absa.org/RiskGroups,acholeplasma
modicum,2,t | PV,https://my.absa.org/RiskGroups,acholeplasma
morum,2,t | PV,https://my.absa.org/RiskGroups,acholeplasma
oculi,2,t | PV,https://my.absa.org/RiskGroups,acholeplasma
xylosoxidans subsp. denitrificans,2,,https://my.absa.org/RiskGroups,achromobacter
xylosoxidans subsp. xylosoxidans,2,,https://my.absa.org/RiskGroups,achromobacter
piechaudii,2,Achromobacter piechaudii,https://my.absa.org/RiskGroups,achromobacter
fermentas,2,ht,https://my.absa.org/RiskGroups,acidaminococcus
spp.,2,plant pathogen,https://my.absa.org/RiskGroups,acidovorax
baumannii,2,Formerly Acinetobacter calcoaceticus,https://my.absa.org/RiskGroups,acinetobacter
calcoaceticus,2,,https://my.absa.org/RiskGroups,acinetobacter
haemolyticus,2,,https://my.absa.org/RiskGroups,acinetobacter
johnsonii,2,,https://my.absa.org/RiskGroups,acinetobacter
junii,2,,https://my.absa.org/RiskGroups,acinetobacter
lwoffi,2,TA,https://my.absa.org/RiskGroups,acinetobacter
spp.,2,,https://my.absa.org/RiskGroups,acinetobacter
falciforme,2,"h,v",https://my.absa.org/RiskGroups,acremonium
kiliense,2,"h,v",https://my.absa.org/RiskGroups,acremonium
recifei,2,h,https://my.absa.org/RiskGroups,acremonium
actinomycetemcomiana,2,Haemophilus actinomycetemcomitans,https://my.absa.org/RiskGroups,actinobacillus
capsulatus,2,t | PV,https://my.absa.org/RiskGroups,actinobacillus
delphinicola,2,t | PV?,https://my.absa.org/RiskGroups,actinobacillus
equuli,2,ht | PV,https://my.absa.org/RiskGroups,actinobacillus
hominis,2,,https://my.absa.org/RiskGroups,actinobacillus
lignieresii,2,ht | PV,https://my.absa.org/RiskGroups,actinobacillus
muris,2,PV,https://my.absa.org/RiskGroups,actinobacillus
pleuropneumoniae,2,t | PV (Haemophilus pleuropneumoniae),https://my.absa.org/RiskGroups,actinobacillus
rossii,2,t | PV,https://my.absa.org/RiskGroups,actinobacillus
seminis,2,t | PV,https://my.absa.org/RiskGroups,actinobacillus
suis,2,ht | PV,https://my.absa.org/RiskGroups,actinobacillus
urea,2,(Pasteurella ureae),https://my.absa.org/RiskGroups,actinobacillus
actinomycetemcomitans,2,(Actinobacillus actinomycetemcomitans),https://my.absa.org/RiskGroups,actinobacillus
pleuropneumoniae,2,PV (Actinobacillus pleuropneumoniae),https://my.absa.org/RiskGroups,actinobacillus
ureae,2,refer to Actinobacillus ureae,https://my.absa.org/RiskGroups,actinobacillus
schaalii,2,,https://my.absa.org/RiskGroups,actinobaculum
suis,2,t | PV (Actinomyces suis),https://my.absa.org/RiskGroups,actinobaculum
suis,2,PV (Actinobaculum suis,https://my.absa.org/RiskGroups,actinobaculum
madurae,2,ht,https://my.absa.org/RiskGroups,actinomadura
pelletieri,2,,https://my.absa.org/RiskGroups,actinomadura
bovis,2,t | PV,https://my.absa.org/RiskGroups,actinomyces
europaeus,2,,https://my.absa.org/RiskGroups,actinomyces
gerencseriae,2,,https://my.absa.org/RiskGroups,actinomyces
graevenitzii,2,,https://my.absa.org/RiskGroups,actinomyces
hordeovulneris,2,t | PV,https://my.absa.org/RiskGroups,actinomyces
hyovaginalis,2,t | PV,https://my.absa.org/RiskGroups,actinomyces
israelii,2,,https://my.absa.org/RiskGroups,actinomyces
meyeri,2,,https://my.absa.org/RiskGroups,actinomyces
naeslundii,2,ht,https://my.absa.org/RiskGroups,actinomyces
neuii,2,,https://my.absa.org/RiskGroups,actinomyces
odontolyticus,2,ht,https://my.absa.org/RiskGroups,actinomyces
pyogenes,2,Formerly Corynebacterium pyogenes | Arcanobacterium pyogenes,https://my.absa.org/RiskGroups,actinomyces
radingae,2,,https://my.absa.org/RiskGroups,actinomyces
spp.,2,species which are known to be pathogens in humans,https://my.absa.org/RiskGroups,actinomyces
turicensis,2,,https://my.absa.org/RiskGroups,actinomyces
viscosus,2,t,https://my.absa.org/RiskGroups,actinomyces
haemolyticum,2,Actinomyces haemolyticum,https://my.absa.org/RiskGroups,actinomyces
"Adenovirus (human, all types)",2,There are separate webpages for Adenovirus (excluding serotypes 40 and 41) and Adenovirus (excluding serotypes 40 and 41). The links for both pages are present in the previous column cell. | AR,https://my.absa.org/RiskGroups,adenoviridae
Adenovirus of the guinea pig (GPAV),2,TEN,https://my.absa.org/RiskGroups,adenoviridae
Aviadenoviruses,2,"PM, TEN",https://my.absa.org/RiskGroups,adenoviridae
pullorum,2,t | PV,https://my.absa.org/RiskGroups,aegyptianella
christensenii,2,+,https://my.absa.org/RiskGroups,aerococcus
urinae,2,,https://my.absa.org/RiskGroups,aerococcus
viridans,2,"TA, ht | TA",https://my.absa.org/RiskGroups,aerococcus
allosaccharophila,2,,https://my.absa.org/RiskGroups,aeromonas
bestiarum,2,ht+,https://my.absa.org/RiskGroups,aeromonas
caviae,2,ht,https://my.absa.org/RiskGroups,aeromonas
hydrophilia,2,,https://my.absa.org/RiskGroups,aeromonas
jandaei,2,ht,https://my.absa.org/RiskGroups,aeromonas
punctata,2,ht,https://my.absa.org/RiskGroups,aeromonas
salmonicida,2,t2,https://my.absa.org/RiskGroups,aeromonas
schubertii,2,,https://my.absa.org/RiskGroups,aeromonas
sobria,2,ht,https://my.absa.org/RiskGroups,aeromonas
trota,2,,https://my.absa.org/RiskGroups,aeromonas
tructi,2,,https://my.absa.org/RiskGroups,aeromonas
veronii,2,ht,https://my.absa.org/RiskGroups,aeromonas
broomeae,2,,https://my.absa.org/RiskGroups,afipia
clevelandensis,2,,https://my.absa.org/RiskGroups,afipia
felis,2,ht,https://my.absa.org/RiskGroups,afipia
capsulatus,3,"Listed as human and animal pathogen risk group 3; (mitosporic state : Histoplasma capsulatum) | h, v; teleomorph of Histoplasma capsulatum var. capsulatum; teleomorph of Histoplasma capsulatum var. duboisii; Emmonsiella capsulata , obsolete synonym | Histoplasma capsulatum var capsulatum",https://my.absa.org/RiskGroups,ajellomyces
