Organism,Risk Group,Agent Type,Alternate Names
139H hamster-adapted scrapie agent,RG2,Prion,
143B,RG1,Cell Line,
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),RG3,Virus,"2019 nCoV,COVID-19"
22L mouse-adapted scrapie agent,RG1,Prion,
22Rv1,RG2,Cell Line,
263K hamster-adapted Scrapie agent,RG1,Prion,
HEK293,RG1,Cell Line,"HEK 293,HEK-293,293"
U2OS,RG1,Cell Line,"U-2 OS,2T,U20-S"
8E5,RG2,Cell Line,
alpha-synuclein,RG1,Protein,"alpha synuclein,?-synuclein,a-synuclein"
Aurivirus haliotidmalaco1,RG1,Virus,"Haliotid herpesvirus 1,Abalone herpesvirus"
Orthoflavivirus encephalitidis,RG4,Virus,"Tick-borne encephalitis virus,Hypr virus,Hanzalova virus,Negishi virus,Russian spring-summer encephalitis virus,Abbsettarov virus,Kumlinge virus"
Granulicatella adiacens,RG2,Bacteria,"Abiotrophia adiacens,Streptococcus adjacens"
Granulicatella balaenopterae,RG1,Bacteria,Abiotrophia balaenopterae
Abiotrophia defectiva,RG2,Bacteria,Streptococcus defectivus
Granulicatella elegans,RG2,Bacteria,Abiotrophia elegans
Absidia aalborgi,RG2,Fungus,
Gongronella butleri,RG1,Fungus,"Mortierella butleri,Acremonium ossicola,Tieghemella butleri,Absidia butleri,Mucor vesiculosus,Absidia subpoculata,Tieghemella subpoculata,Gongronella urceolifera"
Lichtheimia corymbifera,RG2,Fungus,"Absidia corymbifera,Absidia ramosa,Mucor corymbifer,Mycocladus corymbifer,Mycocladus corymbiferus"
Amedibacillus dolichus,RG1,Bacteria,"Eubacterium dolichum,Absiella dolichum"
Eubacterium tortuosum,RG2,Bacteria,"Eubacterium tortuosum,Bacillus tortuosus,Bacteroides tortuosus,Mycobacterium flavum var. tortuosum,Absiella tortuosa"
Orthonairovirus khani,RG2,Virus,"Pathum Thani virus,Abu Hammad virus,Dera Ghazi Khan orthonairovirus,Kao Shuan virus,Pretoria virus"
Acanthamoeba castellanii,RG2,Parasite,
Acanthamoeba polyphaga,RG2,Parasite,
Acanthamoeba tubiashi,RG1,Parasite,
Acanthocheilonema viteae,RG1,Parasite,Dipetalonema viteae
Orthobunyavirus acaraense,RG2,Virus,"Acara virus,Benevides virus,Acara orthobunyavirus"
Dermanyssus gallinae,,Parasite,Acarus gallinae
Sarcoptes scabiei,RG2,Parasite,"Itch mite,Acarus scabiei"
Acaulium acremonium,RG2,Fungus,"Penicillium acremonium,Monilia acremonium,Scopulariopsis acremonium"
UPCI-SCC-090,RG2,Cell Line,"ACC-670,CRL-3239"
Acetivibrio ethanolgignens,RG1,Bacteria,Acetanaerobacter ethanolgignens
Acetatifactor muris,RG1,Bacteria,
Acetatifactor muris ATCC BAA-2170,RG1,Bacteria,
Acetitomaculum ruminis,RG1,Bacteria,
Acetivibrio aldrichii,RG1,Bacteria,Clostridium aldrichii
Acetivibrio cellulolyticus,RG1,Bacteria,Acetivibrio cellulosolvens
Acetivibrio multivorans,RG1,Bacteria,Youngiibacter multivorans
Acetivibrio thermocellus,RG1,Bacteria,"Ruminiclostridium thermocellum,Hungateiclostridium thermocellum,Clostridium thermocellum"
Acetoanaerobium noterae,RG1,Bacteria,
Acetoanaerobium sticklandii,RG1,Bacteria,Clostridium sticklandii
Acetobacter aceti,RG1,Bacteria,Mycoderma aceti
Gluconacetobacter liquefaciens,RG1,Bacteria,"Gluconobacter liquefaciens,Acetobacter liquefaciens,Acetobacter aceti liquefaciens,Gluconoacetobacter liquifaciens,Gluconobacter liquifaciens"
Acetobacter orleanensis,RG1,Bacteria,"Bacterium orleanense,Acetobacter aceti orleanensis"
Komagataeibacter xylinus,RG1,Bacteria,"Acetobacter xylinum,Acetobacter xylinum var. maltovorans,Acetobacter xylinus,Gluconacetobacter xylinus,Acetobacter aceti subsp. xylinus"
Frateuria aurantia,RG1,Bacteria,Acetobacter aurantium
Gluconacetobacter diazotrophicus,RG1,Bacteria,Acetobacter diazotrophicus
Acetobacter estunensis,RG1,Bacteria,"Acetobacter pasteurianus estunensis,Acetobacter estunense"
Acetobacter europaeus,RG1,Bacteria,"Gloconoacetobacter europaeus,Komagatabacter europaeus,Komagataeibacter europaeus,Gluconacetobacter europaeus"
Komagataeibacter hansenii,RG1,Bacteria,"Novacetimonas hansenii,Gluconoacetobacter hansenii,Komagatabacter hansenii,Acetobacter hansenii,Gluconacetobacter hansenii"
Komagataeibacter intermedius,RG1,Bacteria,"Gluconacetobacter intermedius,Acetobacter intermedius"
Acetobacter laidlawii,RG1,Bacteria,
Acetobacter lovaniensis,RG1,Bacteria,"Acetobacter pasteurianus lovaniensis,Acetobacter lovaniense"
Acidomonas methanolica,RG1,Bacteria,Acetobacter methanolicus
Acetobacter pasteurianus,RG1,Bacteria,"Bacterium ascendends,Acetobacter paradoxum,Acetobacter pasteurianus subsp. paradoxus,Acetobacter pasteurianus subsp. ascendens,Acetobater ascendens,Mycoderma pasteurianum,Acetobacter peroxidans"
Acetobacter pasteurianus subsp. pasteurianus,RG1,Bacteria,
Acetobacter pomorum,RG1,Bacteria,
Komagataeibacter sucrofermentans,RG1,Bacteria,"Acetobacter xylinus subsp. sucrofermentans,Gluconacetobacter sucrofermentans"
Acetobacterium bakii,RG1,Bacteria,
Acetobacterium carbinolicum,RG1,Bacteria,Acetobacterium carbinolicum subsp. kysingense
Acetobacterium fimetarium,RG1,Bacteria,
Acetobacterium malicum,RG1,Bacteria,
Acetobacterium paludosum,RG1,Bacteria,
Acetobacterium wieringae,RG1,Bacteria,
Acetobacterium woodii,RG1,Bacteria,
Acetofilamentum rigidum,RG1,Bacteria,
Thermoanaerobacter siderophilus,RG1,Bacteria,Acetogenium kivui
Acetohalobium arabaticum,RG1,Bacteria,
Thermoproteus tenax,RG1,Bacteria,"Nonomuraea flexuosa,Actinomadura flexuosa,Nocardia flexuosa,Acetomadura flexuosa,Krassilnikovia flexuosa"
Caldicoprobacter faecalis,RG1,Bacteria,"Acetomicrobium faecale,Acetomicrobium faecalis"
Acetomicrobium flavidum,RG1,Bacteria,
Acetonema longum,RG1,Bacteria,
Acetothermus paucivorans,RG1,Bacteria,
Acholeplasma axanthum,RG1,Bacteria,Haploplasma axanthum
Anaeroplasma bactoclasticum,RG1,Bacteria,Acholeplasma bactoclasticum
Acholeplasma cavigenitalium,RG1,Bacteria,Haploplasma cavigenitalum
Mesoplasma entomophilum,RG1,Bacteria,"Entomoplasma entomophilum,Acholeplasma entomophilum"
Acholeplasma equifetale,RG1,Bacteria,
Mesoplasma florum,RG1,Bacteria,"Entomoplasma florum,Acholeplasma florum"
Acholeplasma granularum,RG1,Bacteria,Mycoplasma granularum
Acholeplasma hippikon,RG1,Bacteria,
Acholeplasma laidlawii,RG1,Bacteria,Sapromyces laidlawi
Acholeplasma modicum,RG1,Bacteria,Haploplasma modicum
Acholeplasma morum,RG1,Bacteria,Paracholeplasma morum
Acholeplasma multilocale,RG1,Bacteria,"Entomoplasma multilocale,Tullyiplasma multilocale"
Acholeplasma oculi,RG1,Bacteria,Acholeplasma oculusi
Acholeplasma parvum,RG1,Bacteria,Alteracholeplasma parvum
Mesoplasma seiffertii,RG1,Bacteria,"Tullyiplasma seiffertii,Acholeplasma seiffertii,Entomoplasma seiffertii"
Acholeplasma vituli,RG1,Bacteria,Paracholeplasma vituli
Trichophyton concentricum,RG2,Fungus,"Achorion concentricum,Aspergillus concentricum,Mycoderma concentricum,Lepidophyton concentricum,Endodermophyton concentricum,Oospora concentrica"
Microsporum ferrugineum,RG2,Fungus,"Achorion ferrugineum,Grubyella ferruginea,Trichophyton ferrugineum,Arthrosporia ferruginea"
