name,taxonomic_family,genome_type,known_rg,spillover_probability,rg3_rg4_probability,discordance_score,discordance_quadrant
Adeno-associated virus rh.10,unknown,unknown,1,0.005376685,0.38814107,-0.38276437,Low spillover / Low severity
Aedes flavivirus,unknown,unknown,1,0.0016013996,0.22234039,-0.22073899,Low spillover / Low severity
Alongshan virus,unknown,unknown,3,0.005376685,0.63688004,-0.63150334,Low spillover / High severity
Alphaarterivirus equid,Arteriviridae,ssRNA+,1,0.0016013996,0.7601376,-0.7585362,Low spillover / High severity
Alphabaculovirus adhonmai,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus agipsilonis,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus agsegetum,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus alteragsegetum,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus alterchofumiferanae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus altermaconfiguratae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus angemmatalis,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus anpernyi,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus aucalifornicae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus bomori,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus busuppressariae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus capomonae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus chofumiferanae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus chomurinanae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus chorosaceanae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus chrincludentis,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus chrychalcites,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus clabilineatae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus ecobliquae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus eppostvittanae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus eupseudoconspersae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus helarmigerae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus hycuneae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
